Date,AAPL,MSFT,XOM,BP
2014-12-31,110.37999725341797,46.45000076293945,92.44999694824219,38.119998931884766
2015-01-02,109.33000183105469,46.7599983215332,92.83000183105469,38.119998931884766
2015-01-05,106.25,46.33000183105469,90.29000091552734,36.099998474121094
2015-01-06,106.26000213623047,45.650001525878906,89.80999755859375,35.83000183105469
2015-01-07,107.75,46.22999954223633,90.72000122070312,35.91999816894531
2015-01-08,111.88999938964844,47.59000015258789,92.2300033569336,36.72999954223633
2015-01-09,112.01000213623047,47.189998626708984,92.0999984741211,36.58000183105469
2015-01-12,109.25,46.599998474121094,90.33000183105469,36.04999923706055
2015-01-13,110.22000122070312,46.36000061035156,90.0,35.959999084472656
2015-01-14,109.80000305175781,45.959999084472656,89.73999786376953,35.66999816894531
2015-01-15,106.81999969482422,45.47999954223633,88.95999908447266,35.72999954223633
2015-01-16,105.98999786376953,46.2400016784668,91.12000274658203,37.86000061035156
2015-01-20,108.72000122070312,46.38999938964844,91.08999633789062,37.689998626708984
2015-01-21,109.55000305175781,45.91999816894531,91.87000274658203,38.81999969482422
2015-01-22,112.4000015258789,47.130001068115234,92.87000274658203,38.97999954223633
2015-01-23,112.9800033569336,47.18000030517578,90.88999938964844,38.900001525878906
2015-01-26,113.0999984741211,47.0099983215332,91.76000213623047,39.91999816894531
2015-01-27,109.13999938964844,42.65999984741211,90.94999694824219,40.209999084472656
2015-01-28,115.30999755859375,41.189998626708984,87.94999694824219,38.880001068115234
2015-01-29,118.9000015258789,42.0099983215332,87.58000183105469,38.75
2015-01-30,117.16000366210938,40.400001525878906,87.41999816894531,38.83000183105469
2015-02-02,118.62999725341797,41.279998779296875,89.58000183105469,39.86000061035156
2015-02-03,118.6500015258789,41.599998474121094,92.25,41.099998474121094
2015-02-04,119.55999755859375,41.84000015258789,91.45999908447266,40.45000076293945
2015-02-05,119.94000244140625,42.45000076293945,92.36000061035156,41.380001068115234
2015-02-06,118.93000030517578,42.40999984741211,91.5,41.16999816894531
2015-02-09,119.72000122070312,42.36000061035156,91.55999755859375,41.61000061035156
2015-02-10,122.0199966430664,42.599998474121094,91.01000213623047,41.25
2015-02-11,124.87999725341797,42.380001068115234,90.5999984741211,40.349998474121094
2015-02-12,126.45999908447266,43.09000015258789,92.37000274658203,41.34000015258789
2015-02-13,127.08000183105469,43.869998931884766,93.37000274658203,41.93000030517578
2015-02-17,127.83000183105469,43.58000183105469,93.05000305175781,41.779998779296875
2015-02-18,128.72000122070312,43.529998779296875,91.01000213623047,41.75
2015-02-19,128.4499969482422,43.5,89.44000244140625,41.189998626708984
2015-02-20,129.5,43.86000061035156,89.91999816894531,41.279998779296875
2015-02-23,133.0,44.150001525878906,89.01000213623047,41.220001220703125
2015-02-24,132.1699981689453,44.09000015258789,89.41999816894531,41.59000015258789
2015-02-25,128.7899932861328,43.9900016784668,89.5999984741211,41.90999984741211
2015-02-26,130.4199981689453,44.060001373291016,88.6500015258789,41.36000061035156
2015-02-27,128.4600067138672,43.849998474121094,88.54000091552734,41.439998626708984
2015-03-02,129.08999633789062,43.880001068115234,88.04000091552734,41.29999923706055
2015-03-03,129.36000061035156,43.279998779296875,87.62000274658203,41.7400016784668
2015-03-04,128.5399932861328,43.060001373291016,87.18000030517578,41.529998779296875
2015-03-05,126.41000366210938,43.11000061035156,86.73999786376953,41.18000030517578
2015-03-06,126.5999984741211,42.36000061035156,85.62999725341797,40.349998474121094
2015-03-09,127.13999938964844,42.849998474121094,85.16000366210938,40.279998779296875
2015-03-10,124.51000213623047,42.029998779296875,84.26000213623047,39.040000915527344
2015-03-11,122.23999786376953,41.97999954223633,84.0199966430664,38.22999954223633
2015-03-12,124.44999694824219,41.02000045776367,84.22000122070312,38.15999984741211
2015-03-13,123.58999633789062,41.380001068115234,83.87000274658203,37.599998474121094
2015-03-16,124.94999694824219,41.560001373291016,84.76000213623047,37.54999923706055
2015-03-17,127.04000091552734,41.70000076293945,84.08000183105469,37.81999969482422
2015-03-18,128.47000122070312,42.5,86.06999969482422,39.349998474121094
2015-03-19,127.5,42.290000915527344,84.41000366210938,38.970001220703125
2015-03-20,125.9000015258789,42.880001068115234,84.54000091552734,40.099998474121094
2015-03-23,127.20999908447266,42.86000061035156,85.43000030517578,40.13999938964844
2015-03-24,126.69000244140625,42.900001525878906,84.5199966430664,39.5099983215332
2015-03-25,123.37999725341797,41.459999084472656,84.86000061035156,40.0099983215332
2015-03-26,124.23999786376953,41.209999084472656,84.31999969482422,39.810001373291016
2015-03-27,123.25,40.970001220703125,83.58000183105469,39.61000061035156
2015-03-30,126.37000274658203,40.959999084472656,85.62999725341797,39.84000015258789
2015-03-31,124.43000030517578,40.65999984741211,85.0,39.11000061035156
2015-04-01,124.25,40.720001220703125,84.45999908447266,39.5
2015-04-02,125.31999969482422,40.290000915527344,84.30000305175781,39.650001525878906
2015-04-06,127.3499984741211,41.54999923706055,85.12999725341797,40.130001068115234
2015-04-07,126.01000213623047,41.529998779296875,85.75,40.25
2015-04-08,125.5999984741211,41.41999816894531,84.05999755859375,40.77000045776367
2015-04-09,126.55999755859375,41.47999954223633,84.6500015258789,41.349998474121094
2015-04-10,127.0999984741211,41.720001220703125,85.55999755859375,41.540000915527344
2015-04-13,126.8499984741211,41.7599983215332,85.33999633789062,41.22999954223633
2015-04-14,126.30000305175781,41.650001525878906,86.62999725341797,41.79999923706055
2015-04-15,126.77999877929688,42.2599983215332,88.08000183105469,42.41999816894531
2015-04-16,126.16999816894531,42.15999984741211,87.7300033569336,42.54999923706055
